id_digit;lat;lng
TZk5e;42.3900392;2.2980181
Xmwv5;42.1284091;2.3289972
D2dVf;42.1266992;2.3170783
rmG6b;42.3802778;2.3028943
sKKRT;42.1277717;2.330048
mL2Xo;42.356891;1.7582537
WAZn3;42.3650797;1.7536673
qGXMP;42.3520483;1.7601891
RxpEs;42.5494967;1.2273553
Lo56r;42.5484583;1.2296866
W4Cux;42.5486639;1.2314696
4WMEQ;42.1291478;2.3280687
EUQH9;42.3512096;1.7597029
DfYpT;42.1257742;2.3269786
jzQ1V;42.3495704;1.7611548
YA8Wj;42.3652456;1.7527645
CAN1;43.3680491;-4.327935
CAN3;43.3676394;-4.3281426
CAN4;43.3676645;-4.328635
CAN5;43.3662862;-4.3281794
CAN5;43.3662862;-4.3281794
CAN6;43.3703038;-4.3242912
CAN7;43.370172;-4.324132
CAN9;43.2341388;-3.8227339
CAN11;43.2058594;-3.8065542
CAN12;43.2038991;-3.8051708
CAN13;43.2030032;-3.8077749
CAN14;43.4012022;-3.9115321
CAN16;43.4006375;-3.9114195
jPfpm;42.5520365;1.3224716
LOpfE;42.5418392;1.3114038
EthpY;42.093678;2.8978136
A2kpt;42.6207191;1.1303136
GV0wT;42.0943548;2.9017979
N6VDu;42.0954156;2.8990126
UVv2x;42.0970613;2.8996208
do14z;42.0939324;2.8971884
BtN5c;42.0938586;2.8960822
xCxB1;42.3641372;1.7598502
jkOQL;42.5488021;1.2306758
lNtGd;42.5492665;1.228229
NxvUf;42.5486309;1.227462
w5kiU;42.5455573;1.3136793
rQcEk;42.6204432;1.1257676
PV2;43.0867778;-2.938843
PV3;43.0873958;-2.9392129
PV4;43.0871093;-2.9395094
PV5;43.0884289;-2.9410672
PV6;43.0880309;-2.9417878
PV7;43.0873995;-2.9401316
PV8;43.0530539;-2.7954274
PV9;43.054157;-2.79574
PV10;43.0541615;-2.7972329
PV11;43.055163;-2.7959186
PV12;43.0583799;-2.7951387
l9LYn;40.988224;-3.6879056
M8gPG;40.691345;-4.53864
2gq3L;40.98935;-3.68297
oLn2h;40.9891067;-3.68893
tvVOK;40.9831896;-3.6856999
AUVnU;40.9848617;-3.6854033
whZyP;40.6894569;-4.5379439
bfX9T;40.988495;-3.6829117
eUE32;40.6897517;-4.5326233
QbRqd;40.6909967;-4.5320317
MMP12;38.8611287;-6.4063359
MMP22;38.8611551;-6.4045264
MMP32;38.8595393;-6.405037
PTM12;38.7877066;-7.1810883
PTM22;38.7815406;-7.1800308
PTM32;38.7917445;-7.1778321
w3GtG;42.3709228;2.2991324
aih7X;42.3720013;2.3002231
iohCR;42.3713312;2.2997181
ziqBx;42.3807912;2.3022141
T5fok;42.1091222;-7.1274595
5snl1;42.1124044;-7.112302
TZk5e;42.3900392;2.2980181
Xmwv5;42.1284091;2.3289972
D2dVf;42.1266992;2.3170783
rmG6b;42.3802778;2.3028943
sKKRT;42.1277717;2.330048
mL2Xo;42.356891;1.7582537
WAZn3;42.3650797;1.7536673
qGXMP;42.3520483;1.7601891
RxpEs;42.5494967;1.2273553
Lo56r;42.5484583;1.2296866
W4Cux;42.5486639;1.2314696
4WMEQ;42.1291478;2.3280687
u7GbL;42.1270942;2.3282833
EUQH9;42.3512096;1.7597029
DfYpT;42.1257742;2.3269786
jzQ1V;42.3495704;1.7611548
YA8Wj;42.3652456;1.7527645
CAN1;43.3680491;-4.327935
CAN2;43.3680562;-4.3282639
CAN4;43.3676645;-4.328635
CAN5;43.3662862;-4.3281794
CAN6;43.3703038;-4.3242912
CAN7;43.370172;-4.324132
CAN8;43.2350052;-3.8211336
CAN10;43.2328457;-3.8175039
CAN11;43.2058594;-3.8065542
CAN12;43.2038991;-3.8051708
CAN13;43.2030032;-3.8077749
CAN3;43.3676394;-4.3281426
jPfpm;42.5520365;1.3224716
LOpfE;42.5418392;1.3114038
EthpY;42.093678;2.8978136
A2kpt;42.6207191;1.1303136
GV0wT;42.0943548;2.9017979
N6VDu;42.0954156;2.8990126
UVv2x;42.0970613;2.8996208
do14z;42.0939324;2.8971884
BtN5c;42.0938586;2.8960822
4Hxh7;42.5643326;1.3286205
xCxB1;42.3641372;1.7598502
jkOQL;42.5488021;1.2306758
lNtGd;42.5492665;1.228229
NxvUf;42.5486309;1.227462
w5kiU;42.5455573;1.3136793
PV1;43.0869314;-2.9390359
PV3;43.0873958;-2.9392129
PV4;43.0871093;-2.9395094
PV5;43.0884289;-2.9410672
PV6;43.0880309;-2.9417878
PV7;43.0873995;-2.9401316
PV8;43.0530539;-2.7954274
PV9;43.054157;-2.79574
PV10;43.0541615;-2.7972329
PV11;43.055163;-2.7959186
PV12;43.0583799;-2.7951387
PV13;43.0596121;-2.7966166
l9LYn;40.988224;-3.6879056
M8gPG;40.691345;-4.53864
2gq3L;40.98935;-3.68297
oLn2h;40.9891067;-3.68893
tvVOK;40.9831896;-3.6856999
AUVnU;40.9848617;-3.6854033
whZyP;40.6894569;-4.5379439
bfX9T;40.988495;-3.6829117
eUE32;40.6897517;-4.5326233
QbRqd;40.6909967;-4.5320317
MMP11;38.8611287;-6.4063359
MMP21;38.8611551;-6.4045264
MMP31;38.8595393;-6.405037
PTM11;38.7877066;-7.1810883
PTM21;38.7815406;-7.1800308
PTM31;38.7917445;-7.1778321
w3GtG;42.3709228;2.2991324
aih7X;42.3720013;2.3002231
iohCR;42.3713312;2.2997181
ziqBx;42.3807912;2.3022141
4dcSz;42.1091222;-7.1274595
VSmHd;42.1124044;-7.112302
zxEiG;42.112443;-7.111994
LR1;42.2999421;-2.6743384
LR2;42.3026415;-2.6669268
LR3;42.2900667;-2.6583732
LR4;42.2921101;-2.6687829
LRC5;#N/D;#N/D
LRC6;#N/D;#N/D
LR7;42.2889519;-2.811498
LR8;42.28854;-2.81164
LR9;42.2966605;-2.7979369
LR13;42.2108464;-2.783807
LR14;42.210563;-2.784346
LR1;42.2999421;-2.6743384
LR2;42.3026415;-2.6669268
LR3;42.2900667;-2.6583732
LR4;42.2921101;-2.6687829
LR5;42.2727357;-2.7663925
LR6;42.2724509;-2.7668609
LR7;42.2889519;-2.811498
LR8;42.28854;-2.81164
LR10;42.2320376;-2.8085977
LR11;42.2317045;-2.8084502
LR13;42.2108464;-2.783807
LR14;42.210563;-2.784346
LR15;42.2242861;-2.8020079
